26-06-07 01:24:09: Training starting...
global_step=312, episodic_return=-99.6
global_step=332, episodic_return=-100.3
global_step=584, episodic_return=-101.7
global_step=616, episodic_return=-99.4
global_step=912, episodic_return=-98.1
global_step=6056, episodic_return=-163.7
global_step=6396, episodic_return=-90.3
global_step=6500, episodic_return=-99.9
global_step=6656, episodic_return=-115.5
global_step=6984, episodic_return=-88.6
global_step=7312, episodic_return=-97.0
global_step=7348, episodic_return=-103.4
global_step=12900, episodic_return=-78.0
global_step=13056, episodic_return=-81.6
global_step=13468, episodic_return=-101.7
global_step=13712, episodic_return=-81.6
global_step=13748, episodic_return=-83.3
global_step=13804, episodic_return=-117.8
global_step=14020, episodic_return=-105.2
global_step=14044, episodic_return=-118.8
global_step=14124, episodic_return=-101.5
global_step=14308, episodic_return=-102.7
global_step=14440, episodic_return=-122.4
global_step=14508, episodic_return=-115.3
global_step=14728, episodic_return=-101.1
global_step=14792, episodic_return=-118.1
global_step=14836, episodic_return=-103.8
global_step=15060, episodic_return=-110.6
global_step=15072, episodic_return=-100.9
global_step=15260, episodic_return=-110.8
global_step=19300, episodic_return=-89.6
global_step=19752, episodic_return=-99.1
global_step=19976, episodic_return=-111.5
global_step=21128, episodic_return=-82.4
global_step=21452, episodic_return=-100.8
global_step=21460, episodic_return=-77.6
global_step=21660, episodic_return=-84.1
global_step=21712, episodic_return=-100.8
global_step=21888, episodic_return=-99.3
global_step=22192, episodic_return=-117.7
global_step=22416, episodic_return=-102.5
global_step=22704, episodic_return=-106.5
global_step=23048, episodic_return=-96.9
global_step=25736, episodic_return=-154.3
global_step=25744, episodic_return=-142.4
global_step=25744, episodic_return=-153.2
global_step=25848, episodic_return=-185.6
global_step=25904, episodic_return=-121.7
global_step=25912, episodic_return=-121.1
global_step=25912, episodic_return=-120.8
global_step=26096, episodic_return=-113.2
global_step=26140, episodic_return=-113.0
global_step=26140, episodic_return=-113.1
global_step=26152, episodic_return=-114.2
global_step=28116, episodic_return=-131.6
global_step=32092, episodic_return=-130.9
global_step=32540, episodic_return=-39.3
global_step=32540, episodic_return=-40.0
global_step=32552, episodic_return=-34.3
global_step=32892, episodic_return=-125.2
global_step=32916, episodic_return=-112.9
global_step=32916, episodic_return=-134.5
global_step=32916, episodic_return=-111.6
global_step=33128, episodic_return=-124.5
global_step=33148, episodic_return=-125.6
global_step=33148, episodic_return=-125.6
global_step=33148, episodic_return=-125.7
global_step=33616, episodic_return=-125.2
global_step=33648, episodic_return=-126.3
global_step=33648, episodic_return=-126.0
global_step=33744, episodic_return=-128.1
global_step=33956, episodic_return=-121.1
global_step=33972, episodic_return=-123.3
global_step=33980, episodic_return=-123.5
global_step=34176, episodic_return=-124.4
global_step=34244, episodic_return=-118.6
global_step=34292, episodic_return=-121.5
global_step=34316, episodic_return=-121.9
global_step=34436, episodic_return=-114.2
global_step=34436, episodic_return=-119.0
global_step=34596, episodic_return=-119.5
global_step=34652, episodic_return=-115.6
global_step=34656, episodic_return=-116.3
global_step=34672, episodic_return=-121.7
global_step=35020, episodic_return=-118.2
global_step=35028, episodic_return=-119.4
global_step=35068, episodic_return=-118.6
global_step=35152, episodic_return=-111.4
global_step=35224, episodic_return=-117.8
global_step=35240, episodic_return=-124.0
