26-06-08 16:01:25: Training starting...
global_step=236, episodic_return=-99.2
global_step=264, episodic_return=-109.1
global_step=316, episodic_return=-100.4
global_step=6396, episodic_return=-86.5
global_step=6636, episodic_return=-79.2
global_step=6664, episodic_return=-82.1
global_step=6716, episodic_return=-77.7
global_step=6916, episodic_return=-100.0
global_step=6944, episodic_return=-107.8
global_step=6984, episodic_return=-99.8
global_step=7244, episodic_return=-119.4
global_step=7260, episodic_return=-100.5
global_step=7332, episodic_return=-101.7
global_step=7476, episodic_return=-105.0
global_step=7580, episodic_return=-119.3
global_step=7668, episodic_return=-110.0
global_step=7856, episodic_return=-99.9
global_step=7948, episodic_return=-116.0
global_step=8176, episodic_return=-110.9
global_step=8320, episodic_return=-116.1
global_step=8412, episodic_return=-101.2
global_step=8800, episodic_return=-118.7
global_step=9080, episodic_return=-103.4
global_step=9288, episodic_return=-111.4
global_step=12796, episodic_return=-80.9
global_step=13096, episodic_return=-119.0
global_step=13424, episodic_return=-166.4
global_step=14812, episodic_return=-79.9
global_step=15688, episodic_return=-84.4
global_step=15988, episodic_return=-99.6
global_step=19496, episodic_return=-90.7
global_step=19824, episodic_return=-86.0
global_step=21212, episodic_return=-80.7
global_step=22388, episodic_return=-83.2
global_step=22652, episodic_return=-99.9
global_step=22896, episodic_return=-102.5
global_step=23156, episodic_return=-102.2
global_step=25896, episodic_return=-81.0
global_step=26076, episodic_return=-114.5
global_step=26224, episodic_return=-74.5
global_step=27612, episodic_return=-90.0
global_step=29512, episodic_return=-169.8
global_step=32476, episodic_return=-80.4
global_step=32624, episodic_return=-71.7
global_step=32724, episodic_return=-107.2
global_step=33664, episodic_return=-164.2
global_step=35912, episodic_return=-79.8
global_step=37504, episodic_return=-146.3
global_step=38032, episodic_return=-153.1
global_step=39404, episodic_return=-126.7
global_step=40064, episodic_return=-77.6
global_step=41224, episodic_return=-129.2
global_step=41452, episodic_return=-113.0
global_step=41884, episodic_return=-130.8
global_step=44488, episodic_return=-112.6
global_step=44724, episodic_return=-110.1
global_step=44860, episodic_return=-123.3
global_step=45020, episodic_return=-106.7
global_step=45324, episodic_return=-122.1
global_step=45484, episodic_return=-107.9
global_step=45632, episodic_return=-109.1
global_step=45800, episodic_return=-107.8
global_step=45804, episodic_return=-70.5
global_step=45956, episodic_return=-107.8
global_step=45956, episodic_return=-107.8
global_step=46112, episodic_return=-107.6
