26-06-07 14:24:19: Training starting...
global_step=188, episodic_return=-111.6
global_step=192, episodic_return=-108.3
global_step=224, episodic_return=-117.4
global_step=244, episodic_return=-101.5
global_step=520, episodic_return=-97.7
global_step=560, episodic_return=-100.3
global_step=608, episodic_return=-121.1
global_step=824, episodic_return=-102.3
global_step=916, episodic_return=-105.9
global_step=996, episodic_return=-100.1
global_step=1064, episodic_return=-118.8
global_step=1368, episodic_return=-99.5
global_step=1684, episodic_return=-105.3
global_step=1968, episodic_return=-101.0
global_step=2324, episodic_return=-99.0
global_step=2628, episodic_return=-103.2
global_step=6592, episodic_return=-84.7
global_step=7316, episodic_return=-80.3
global_step=7464, episodic_return=-89.9
global_step=7680, episodic_return=-114.2
global_step=9028, episodic_return=-80.2
global_step=9252, episodic_return=-111.4
global_step=9720, episodic_return=-115.5
global_step=9952, episodic_return=-102.2
global_step=10396, episodic_return=-122.6
global_step=10552, episodic_return=-105.0
global_step=10852, episodic_return=-100.3
global_step=12992, episodic_return=-81.4
global_step=13864, episodic_return=-84.1
global_step=14080, episodic_return=-88.4
global_step=14296, episodic_return=-127.7
global_step=14476, episodic_return=-99.7
global_step=14772, episodic_return=-100.5
global_step=15008, episodic_return=-100.8
global_step=17252, episodic_return=-83.9
global_step=19392, episodic_return=-79.8
global_step=20696, episodic_return=-90.3
global_step=20992, episodic_return=-98.0
global_step=21408, episodic_return=-80.1
global_step=21692, episodic_return=-101.1
global_step=23652, episodic_return=-83.0
global_step=25792, episodic_return=-83.6
global_step=27392, episodic_return=-90.0
global_step=27756, episodic_return=-115.8
global_step=28092, episodic_return=-95.7
global_step=28376, episodic_return=-101.6
global_step=28600, episodic_return=-104.1
global_step=30052, episodic_return=-76.0
global_step=30268, episodic_return=-102.6
global_step=30532, episodic_return=-99.9
global_step=30708, episodic_return=-102.5
global_step=30896, episodic_return=-104.2
global_step=31072, episodic_return=-104.0
global_step=31276, episodic_return=-101.0
global_step=31864, episodic_return=-121.0
global_step=32080, episodic_return=-101.8
global_step=32192, episodic_return=-53.0
global_step=32464, episodic_return=-99.1
global_step=32544, episodic_return=-100.7
global_step=32752, episodic_return=-96.7
global_step=32760, episodic_return=-101.0
global_step=32952, episodic_return=-99.6
global_step=33228, episodic_return=-96.6
global_step=33512, episodic_return=-99.9
global_step=34156, episodic_return=-50.3
global_step=34476, episodic_return=-107.2
global_step=34740, episodic_return=-105.4
global_step=35000, episodic_return=-44.9
global_step=35256, episodic_return=-98.5
global_step=35504, episodic_return=-98.4
global_step=35764, episodic_return=-97.7
global_step=35980, episodic_return=-97.9
global_step=36240, episodic_return=-98.2
global_step=36508, episodic_return=-95.7
global_step=36744, episodic_return=-98.1
global_step=36956, episodic_return=-98.5
global_step=37176, episodic_return=-99.4
global_step=37420, episodic_return=-97.9
global_step=37628, episodic_return=-127.2
global_step=37680, episodic_return=-98.1
global_step=37852, episodic_return=-98.3
global_step=37864, episodic_return=-101.3
global_step=38052, episodic_return=-100.7
global_step=38068, episodic_return=-101.5
global_step=38268, episodic_return=-100.6
global_step=38296, episodic_return=-99.1
global_step=38464, episodic_return=-100.9
global_step=38476, episodic_return=-98.9
global_step=38652, episodic_return=-100.0
global_step=38684, episodic_return=-99.5
global_step=38824, episodic_return=-100.6
global_step=38932, episodic_return=-99.5
global_step=39064, episodic_return=-100.2
global_step=39152, episodic_return=-25.7
global_step=39160, episodic_return=-97.6
global_step=39288, episodic_return=-99.0
global_step=39348, episodic_return=-98.9
global_step=39384, episodic_return=-100.6
global_step=39536, episodic_return=-96.7
global_step=39556, episodic_return=-99.7
global_step=39604, episodic_return=-100.2
global_step=39788, episodic_return=-99.1
global_step=39824, episodic_return=-98.3
global_step=39824, episodic_return=-99.0
global_step=39912, episodic_return=-23.1
global_step=40036, episodic_return=-97.9
global_step=40048, episodic_return=-98.8
global_step=40052, episodic_return=-99.1
global_step=40164, episodic_return=-96.5
global_step=40288, episodic_return=-96.7
global_step=40292, episodic_return=-97.8
global_step=40292, episodic_return=-100.1
global_step=40436, episodic_return=-95.2
global_step=40552, episodic_return=-97.4
global_step=40584, episodic_return=-96.9
global_step=40616, episodic_return=-95.7
global_step=40752, episodic_return=-94.3
global_step=40884, episodic_return=-95.3
global_step=40944, episodic_return=-95.0
global_step=40956, episodic_return=-96.7
global_step=41024, episodic_return=-98.3
global_step=41172, episodic_return=-96.1
global_step=41200, episodic_return=-99.0
global_step=41200, episodic_return=-97.8
global_step=41384, episodic_return=-95.3
global_step=41488, episodic_return=-96.1
global_step=41500, episodic_return=-95.7
global_step=41516, episodic_return=-93.9
global_step=41744, episodic_return=-95.1
global_step=41780, episodic_return=-97.9
global_step=41788, episodic_return=-96.7
global_step=41812, episodic_return=-96.2
global_step=42056, episodic_return=-93.9
global_step=42060, episodic_return=-98.1
global_step=42076, episodic_return=-96.3
global_step=42148, episodic_return=-96.2
global_step=42344, episodic_return=-95.1
global_step=42352, episodic_return=-98.2
global_step=42388, episodic_return=-100.4
global_step=42392, episodic_return=-96.9
global_step=42588, episodic_return=-97.4
global_step=42652, episodic_return=-98.5
global_step=42684, episodic_return=-98.0
global_step=42696, episodic_return=-97.5
global_step=42832, episodic_return=-97.5
global_step=42928, episodic_return=-98.7
global_step=42952, episodic_return=-99.5
global_step=42968, episodic_return=-97.7
global_step=43156, episodic_return=-99.6
global_step=43192, episodic_return=-98.6
global_step=43244, episodic_return=-98.0
global_step=43288, episodic_return=-99.1
global_step=43416, episodic_return=-98.5
global_step=43436, episodic_return=-99.3
global_step=43492, episodic_return=-98.0
global_step=43532, episodic_return=-98.5
global_step=43688, episodic_return=-99.0
global_step=43716, episodic_return=-99.0
global_step=43760, episodic_return=-101.4
global_step=43808, episodic_return=-99.5
global_step=43952, episodic_return=-98.3
global_step=43968, episodic_return=-97.5
global_step=44028, episodic_return=-97.4
global_step=44084, episodic_return=-96.4
global_step=44220, episodic_return=-100.8
global_step=44236, episodic_return=-98.7
global_step=44284, episodic_return=-99.3
global_step=44368, episodic_return=-97.7
global_step=44468, episodic_return=-98.5
global_step=44480, episodic_return=-96.5
global_step=44540, episodic_return=-98.5
global_step=44676, episodic_return=-102.7
global_step=44728, episodic_return=-98.2
global_step=44784, episodic_return=-102.0
global_step=44808, episodic_return=-100.1
global_step=44980, episodic_return=-96.9
global_step=44988, episodic_return=-97.8
global_step=45060, episodic_return=-99.2
global_step=45092, episodic_return=-97.5
global_step=45256, episodic_return=-98.4
global_step=45264, episodic_return=-98.4
global_step=45332, episodic_return=-97.4
global_step=45384, episodic_return=-96.9
global_step=45528, episodic_return=-97.6
global_step=45536, episodic_return=-97.3
global_step=45604, episodic_return=-98.6
global_step=45692, episodic_return=-97.1
global_step=45816, episodic_return=-97.4
global_step=45824, episodic_return=-97.4
global_step=45876, episodic_return=-98.0
global_step=46008, episodic_return=-96.7
global_step=46072, episodic_return=-96.8
global_step=46104, episodic_return=-97.8
global_step=46160, episodic_return=-95.7
global_step=46276, episodic_return=-97.4
global_step=46352, episodic_return=-95.6
global_step=46420, episodic_return=-95.7
global_step=46520, episodic_return=-96.3
